3.25	0	8.131727983645298	0	4.898979485566356	0	0	0	0	0	0	0	0	0	0	0
0	15.75	0	23.882524992135988	0	10.954451150103322	0	0	0	0	0	0	0	0	0	0
8.131727983645298	0	40.25	0	47.63139720814412	0	18.973665961010276	0	0	0	0	0	0	0	0	0
0	23.882524992135988	0	76.75	0	79.38041320124253	0	28.982753492378876	0	0	0	0	0	0	0	0
4.898979485566356	0	47.63139720814412	0	125.25	0	119.12965625737364	0	40.98780306383839	0	0	0	0	0	0	0
0	10.954451150103322	0	79.38041320124253	0	185.75	0	166.8790729840024	0	54.99090833947008	0	0	0	0	0	0
0	0	18.973665961010276	0	119.12965625737364	0	258.25	0	222.62861451304948	0	70.9929573971954	0	0	0	0	0
0	0	0	28.982753492378876	0	166.8790729840024	0	342.75	0	286.37824638055173	0	88.99438184514796	0	0	0	0
0	0	0	0	40.98780306383839	0	222.62861451304948	0	439.25	0	358.127945014069	0	108.9954127475097	0	0	0
0	0	0	0	0	54.99090833947008	0	286.37824638055173	0	547.75	0	437.8776941110383	0	130.99618315050253	0	0
0	0	0	0	0	0	70.9929573971954	0	358.127945014069	0	668.25	0	525.6274821582297	0	154.9967741599805	0
0	0	0	0	0	0	0	88.99438184514796	0	437.8776941110383	0	800.75	0	621.3773008406406	0	180.99723754798026
0	0	0	0	0	0	0	0	108.9954127475097	0	525.6274821582297	0	945.25	0	725.1271440237223	0
0	0	0	0	0	0	0	0	0	130.99618315050253	0	621.3773008406406	0	1101.75	0	605.0149791534091
0	0	0	0	0	0	0	0	0	0	154.9967741599805	0	725.1271440237223	0	1030.25	0
0	0	0	0	0	0	0	0	0	0	0	180.99723754798026	0	605.0149791534091	0	438.75
